category,name,link,price,updated_date
glass,Eclat Whisky Glass Longchamp 320ML - L7555,https://www.cheers.com.np//liquor/product/eclat-whisky-glass-longchamp-320ml-l7555,Rs. 600,2024-05-11 11:04:37.413071
glass,Luminarc Whisky Glass Islande 300ML - N1314,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-islande-300ml-n1314,Rs. 140,2024-05-11 11:04:37.416507
glass,Luminarc Whisky Glass Octime 300ML - D6238,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-octime-300ml-d6238,Rs. 150,2024-05-11 11:04:37.418992
glass,Luminarc Whisky Glass Salto 320ML - G2562,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-salto-320ml-g2562,Rs. 190,2024-05-11 11:04:37.422085
glass,Luminarc Whisky Glass Sterling 200ML - G2516,https://www.cheers.com.np//liquor/product/luminarc-whisky-glass-sterling-200ml-g2516,Rs. 130,2024-05-11 11:04:37.425391
glass,Luminarc Wine Cognac Glass Degustation 130ML - 12160,https://www.cheers.com.np//liquor/product/luminarc-wine-cognac-glass-degustation-130ml-12160,Rs. 200,2024-05-11 11:04:37.425391
glass,Luminarc Wine Cognac Glass Degustation 250ML - 12148,https://www.cheers.com.np//liquor/product/luminarc-wine-cognac-glass-degustation-250ml-12148,Rs. 240,2024-05-11 11:04:37.433468
glass,Luminarc Wine Cognac Glass Degustation 410ML - H5704,https://www.cheers.com.np//liquor/product/luminarc-wine-cognac-glass-degustation-410ml-h5704,Rs. 260,2024-05-11 11:04:37.439129
glass,Luminarc Wine Glass Elegance 250ML - 13735,https://www.cheers.com.np//liquor/product/luminarc-wine-glass-elegance-250ml-13735,Rs. 230,2024-05-11 11:04:37.442489
glass,Luminarc Wine Glass So Wine 470ML - E5980,https://www.cheers.com.np//liquor/product/luminarc-wine-glass-so-wine-470ml-e5980,Rs. 350,2024-05-11 11:04:37.444769
mixers,Giffard Raspberry Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-raspberry-syrup-1l,"Rs. 1,950",2024-05-11 11:04:47.925631
mixers,Monin Popcorn Syrup 700ML,https://www.cheers.com.np//liquor/product/monin-popcorn-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:47.925631
mixers,Marie Brizard Mojito Mint Syrup 700ML,https://www.cheers.com.np//liquor/product/marie-brizard-mojito-mint-syrup-700ml,"Rs. 1,600",2024-05-11 11:04:47.925631
mixers,1883 Strawberry Syrup 1L,https://www.cheers.com.np//liquor/product/1883-strawberry-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.932477
mixers,Deroly Electric Wine Cork Opener Set,https://www.cheers.com.np//liquor/product/deroly-electric-wine-cork-opener-set,"Rs. 2,000",2024-05-11 11:04:47.932477
mixers,Crystal Gourmet Ice Cube 500G,https://www.cheers.com.np//liquor/product/crystal-gourmet-ice-cube-500g,Rs. 35,2024-05-11 11:04:47.932477
